OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
307879;351.969334;5590.105769;0;5589;840121.1049;1178447.208;1;1;0;1;1;1;0;1;15651;1;1;45923000;0;45923000
307878;339.4965907;4286.273296;0;4286;840149.0367;1178394.266;0;1;0;1;1;1;0;1;15651;1;1;37262000;80781000;118043000
298789;316.6131296;5085.575318;0;5085;840162.7329;1178354.414;0;1;0;1;1;1;0;1;15651;1;1;44191000;25188000;69379000
163396;143.9834292;600.0994596;0;600;839998.1508;1178436.332;0;1;0;1;1;1;0;1;15651;1;1;8303000;0;8303000
306395;319.6344084;6184.594806;0;6184;839868.3232;1178422.522;1;1;0;1;1;1;0;1;15651;1;1;53718000;50599000;104317000
306119;339.4852811;6804.067384;0;6803;839887.5177;1178322.877;0;1;0;1;1;1;0;1;15651;1;1;57366000;104735000;162101000
306122;465.2018813;6996.121142;0;6995;839795.5282;1178344.286;0;1;0;1;1;1;0;1;15651;1;1;678255000;950368000;1628623000
306394;552.1266678;17871.83369;0;17869;839738.8338;1178429.205;1;1;1;1;1;1;0;1;15651;1;1;155046000;432899000;587945000
161253;313.4849699;5804.977693;0;5804;839726.68;1178331.226;0;1;0;1;1;1;0;1;15651;1;1;50428000;76391000;126819000
298146;300.4837045;5646.084531;0;5645;839763.4124;1178247.327;0;1;0;1;1;1;0;1;15651;1;1;49052000;47411000;96463000
298780;284.5154839;4748.425446;0;4748;839776.1756;1178183.702;0;1;0;1;1;1;0;1;15651;1;1;41269000;106940000;148209000
298788;447.3619324;10162.9561;0;10161;839837.7115;1178249.139;0;1;0;1;1;1;0;1;15651;1;1;88206000;34894000;123100000
298779;292.8958809;5281.475625;0;5281;839907.1781;1178229.052;0;1;0;1;1;1;0;1;15651;1;1;43392000;0;43392000
299000;436.9276566;9751.365304;0;9750;840013.1042;1178281.32;0;1;0;1;1;1;0;1;15651;1;1;84641000;23851000;108492000
